title,duration,imdb_rating,directors,writers,cast,genres,release_date,languages,production_companies
Kabir's Path,PT57M,,[],['Indubhushan Mandal'],[],['Documentary'],"January 1, 2024 (India)",['Hindi'],['Cinema Gang']
Rest in Manhole,PT1H25M,,"['Joninder Singh', 'Vaibhav Soni']",[],['Bezwada Wilson'],['Drama'],"January 4, 2024 (India)",['Hindi'],[]
Kripya Dhyaan Dein,PT2H4M,,['Neeraj Bhasin'],['Vivek Gera'],"['Vibha Chhibber', 'Vivek Gera', 'Brijendra Kala', 'Vijay Kaushik', 'Mushtaq Khan', 'Shyam Mashalkar', 'Hemant Pandey', 'Komal Sachdeva', 'Tiku Talsania', 'Atul Tiwari']",['Comedy'],"January 12, 2024 (India)",['Hindi'],['Vivek Gera films']
Ram-Ran: Ayodhya 1992,PT57M,,[],"['Vibhas Awasthi', 'Shailendra Pandey']",[],['Documentary'],"January 18, 2024 (India)",['Hindi'],[]
The Mehta Boys,PT1H56M,,['Boman Irani'],"['Alexander Dinelaris', 'Boman Irani']","['Shreya Chaudhry', 'Boman Irani', 'Puja Sarup', 'Harssh Singh', 'Avinash Tiwary']",['Drama'],"November 25, 2024 (India)",['Hindi'],"['Chalkboard Entertainment', 'Irani Movietone']"
Operation C.A.T.S.,PT1H30M,,['Nimesh Pandey'],['Raj Siddhant'],"['Pragya Nema', 'Gulshan Pandey', 'Ajay Pratap Singh', 'Bharat Tarachandani', 'Raja Thakur']",['Thriller'],"January 26, 2024 (India)",['Hindi'],['Newageshorts']
The Orchard and the Pardes,PT2H,,[],['Renu Savant'],[],['Documentary'],"January 27, 2024 (India)","['Hindi', 'Marathi', 'Nepali']","['India Foundation for the Arts, Bangalore']"
Bless You,PT1H51M,,['Sanjay Sure'],"['Ankita Gusain', 'Sanjay Sure']","['Prasad Athalye', 'Kumar Gaurav', 'Ankita Gusain', 'Mohneesh Kalyan', 'Manish Kumar']",['Comedy'],"January 28, 2024 (India)",['Hindi'],['Courage']
Mann Behka,PT1H17M,,['Raghav Pillutla'],['Raghav Pillutla'],"['Ishaan Anand', 'Anoushka Gupta', 'Aarav Bhatnagar', 'Amit Kalra', 'Raghav Pillutla']","['Drama', 'Romance']","January 28, 2024 (India)",['Hindi'],['Raghav Pillutla Films']
Saajish the Conspiracy,PT1H35M,,['Hiralal Khatri'],['Vinod Vats'],"['Dev Menaria', 'Neeraj Bharadwaj', 'Raj kumar Chawla', 'Mugdha Godse', 'Milind Gunaji', 'Mushtaq Khan', 'Raza Murad', 'Deep Sahu', 'Shivani Sharma', 'Kanchi Singh']","['Crime', 'Drama']","February 9, 2024 (India)",['Hindi'],"['Dm Film Production', 'M. S. Films']"
Kusum Ka Biyaah,PT2H2M,,['Suvendu Raj Ghosh'],"['Sandip Dubey', 'Vikash Dubey']","['Lovekansh Garg', 'Sujana Darjee', 'Raja Sarkar', 'Suhani Biswas', 'Panya Darshan', 'Atanu Mahata', 'Sayantan Roy', 'Trambak Roychowdhury']",['Drama'],"March 1, 2024 (India)",['Hindi'],"['Altair Media', 'Balwant Purohit Media']"
