title,duration,imdb_rating,directors,writers,cast,genres,release_date,languages,production_companies
Kabir's Path,PT57M,NA,[],"['Indubhushan Mandal', 'Indubhushan Mandal']",[],['Documentary'],"January 1, 2024 (India)",['Hindi'],['Cinema Gang']
Tapori Nayak,NA,8.7,[],[],"['Caroline Cave', 'Neil Grayston', 'Nitish Nirmal']",['Adventure'],"January 4, 2024 (India)",['Hindi'],[]
Rest in Manhole,PT1H25M,NA,"['Joninder Singh', 'Vaibhav Soni']",[],['Bezwada Wilson'],['Drama'],"January 4, 2024 (India)",['Hindi'],[]
Jinn Chapter 1,PT46M,7.8,['Hamid Baig'],"['Hamid Baig', 'Fahad Khan', 'Hamid Baig', 'Fahad Khan']","['Naseeb Akhtar', 'Ayesha Athar', 'Mohammed Humza Baig', 'Manjari Chaudhary', 'Rahat Hussain', 'Sourabh Saini', 'Saima Waqar']",['Horror'],"July 11, 2024 (India)",['Hindi'],['Currant Noir Studios']
Tauba Tera Jalwa,PT2H10M,6.2,['Akashaditya Lama'],"['Akashaditya Lama', 'Akashaditya Lama']","['Ehsan Khan', 'Jahangir Khan', 'Jatin Khurana', 'Angela Krislinzki', 'Ameesha Patel', 'Shashank Prajapati', 'Anil Rastogi', 'Rajesh Sharma', 'Neeraj Sood', 'Vevek Upadyay']","['Romance', 'Thriller']","January 5, 2024 (India)",['Hindi'],['Altair Media']
Fire of Love: RED,PT2H10M,3.8,['Ashok Tyagi'],"['Ashok Tyagi', 'Ashok Tyagi']","['Bharat Dabholkar', 'Krushna Abhishek', 'Shantanu Bhamare', 'Payal Ghosh', 'Kamlesh Sawant', 'Arun Bakshi', 'Shashi Sharma', 'Mukesh Tyagi', 'Abhijeet Shwetchandra', 'Kanchan Bhor', 'Simran Ahuja', 'Neelu Chopra']",['Thriller'],"January 5, 2024 (India)",['Hindi'],['Avanti Prajakta Arts']
Saar the Conclusion,PT1H31M,7.9,['Danish Ali'],"['Kamleshwar', 'Sanjay Kumar', 'Kamleshwar', 'Sanjay Kumar']","['Kapil Sharma', 'Monika Choudhary', 'Rupali Pallavi', 'Kamleshwar', 'Priyanshi Soman', 'Manoj Chauhan', 'Ritu Choudhary', 'Abhishek Gupta', 'Shubham Gupta', 'Vibhu Kashyap', 'Kailash Khandelwal', 'Vikas Sharma', 'Nishika Singh', 'Pakhi Singh', 'Yashan Singh']",['Drama'],"January 5, 2024 (India)",['Hindi'],"['Kavyanjali Films', 'Mishika Films']"
Lethal Trip,NA,NA,['Vikrant Dev'],"['Rajan Agarwal', 'Rajan Aggarwal', 'Rj', 'Rajan Agarwal', 'Rajan Aggarwal', 'Rj']","['Rishabh Jain', 'Sareh Far', 'Lada Lucky', 'Sanjay Sujitabh', 'Siddharth Jain']",['Thriller'],"March 7, 2024 (India)",['Hindi'],[]
Sach Ki Jeet,NA,8.3,['Raahul Mouje'],"['Kali Ram Tomar', 'Kali Ram Tomar']","['Sunnyy Singh', 'Harsha Nikam', 'Rajkumar Duva', 'Sushil Parwana', 'Ehsaan Qureshi', 'Neem Sayyed', 'Raju Shrestha', 'Kali Ram Tomar', 'Ronak Tomar']",['Drama'],"January 5, 2024 (India)",['Hindi'],['Vishesh Drishti TV & Film Production']
Sragaal,PT2H20M,8.4,"['Devansh Srivastava', 'Sachin Bhatia']","['Yogesh Pandey', 'Sachin Bhatia', 'Shankar Shesh', 'Yogesh Pandey', 'Sachin Bhatia', 'Shankar Shesh']","['Ravi Kishan', 'Naresh Neb', 'Anshuman Rai', 'Mamta Saxena', 'Poonam Sharma', 'Kritika Narula', 'Yogesh Panwar', 'Ajay Chauhan', 'Ashutosh Pandey', 'Deepak Raj Rahi', 'Sahil Sachdev', 'Vijay Kumar', 'Isha Srivastava', 'Jyoti Gupta', 'Arjun Singh', 'Shubhi Mehrotra', 'Vijay Bhan Singh', 'Vivek Kumar']","['Drama', 'History', 'Mystery', 'Thriller']","January 7, 2024 (India)",['Hindi'],"['Akshunya Motion Pictures', 'NK Productions', 'Kratuaksa Art & Films']"
