title,duration,imdb_rating,directors,writers,cast,genres,release_date,languages,production_companies
Sragaal,PT2H20M,8.4,"['Devansh Srivastava', 'Sachin Bhatia']","['Yogesh Pandey', 'Sachin Bhatia', 'Shankar Shesh']","['Ravi Kishan', 'Naresh Neb', 'Anshuman Rai', 'Mamta Saxena', 'Poonam Sharma', 'Kritika Narula', 'Yogesh Panwar', 'Ajay Chauhan', 'Ashutosh Pandey', 'Deepak Raj Rahi', 'Sahil Sachdev', 'Vijay Kumar', 'Isha Srivastava', 'Jyoti Gupta', 'Arjun Singh', 'Shubhi Mehrotra', 'Vijay Bhan Singh', 'Vivek Kumar']","['Drama', 'History', 'Mystery', 'Thriller']","January 7, 2024 (India)",['Hindi'],"['Akshunya Motion Pictures', 'NK Productions', 'Kratuaksa Art & Films']"
Dashmi,PT2H15M,8.2,['Shantanu Anant Tambe'],['Shantanu Anant Tambe'],"['Vardhaan Puri', 'Gaurav Sareen', 'Monica Chaudhary', 'Rajesh Jais', 'Daljeet Kaur', 'Sanjay Pandey', 'Manoj Tiger', 'Aisshwarya Anishka', 'Shabaaz Abdullah Badi', 'Tirth Bhanushali', 'Manisha Chitrode', 'Ram Naresh Diwakar', 'Khushi Hajare', 'Chaitali Jadhav', 'Midhat Khan', 'Vinod Nair', 'Kailash Pal', 'Vidhaan Sharma']","['Drama', 'Thriller']","February 16, 2024 (India)",['Hindi'],['3S Movies']
Political War,PT2H5M,8.4,"['Mukesh Modi', 'Vivek Srivastava']","['Mukesh Modi', 'Manoj Pandey']","['Gaurav Amlani', 'Sujeet Asthana', 'Arun Bakshi', 'Abhay Bhargava', 'Shashi Bhat', 'Seema Biswas', 'Subhashis Chakraborty', 'Anuradha Chandan', 'Milind Gunaji', 'Lulu Lopez', 'Kanan Malhotra', 'Bill McAndrews', 'Mukesh Modi', 'Jiten Mukhi', 'Prashant Narayanan', 'Raghvendra Pathak', 'Liana Pirraglia', 'Isaac Platizky']",['Drama'],"February 23, 2024 (Ireland)","['Hindi', 'English']",['Indie Films World']
Chhota Bheem Dholakpur Ki Dastaan,PT1H4M,8.9,['Rajiv Chilaka'],[],"['Rupa Bhimani', 'Vatsal Dubey', 'Julie Tejwani']",['Animation'],"March 3, 2024 (India)",['Hindi'],[]
Angithee 3,PT1H39M,8.1,['Satish Bhat'],[],"['Akshitaa Agnihotri', 'Fezan Khan', 'Gulfam Khan', 'Shafaq Naaz', 'Rrahul Sudhir']",['Romance'],"March 7, 2024 (India)",['Hindi'],['Rahat Kazmi Film Studios']
Laughing Buddha,PT1H51M,9.7,['Ganesh Vulidra'],"['Vitthal Ambhure', 'Pinaki Ghosh', 'Shree Rammy']","['Priyal Chougule', 'Sanjay Kadam', 'Mohit Prajapati', 'Rekha Prajapati', 'Shree Rammy', 'Chandraprakash Thakur']",[],"January 7, 2025 (India)",['Hindi'],['Zeefx Studio']
A Lovely Résumé,PT1H10M,9.2,['Porushay'],['Porushay'],"['Umesh Bhatia', 'Gauravv Joshi', 'Manjary Pandey', 'Ajay Pathak', 'Sonali Sharma', 'Balmukund Tripathi']",['Romance'],"March 11, 2024 (India)",['Hindi'],['Bollywood Dot Com']
U Shape Ki Gully,PT2H10M,9.3,['Avinash Das'],['Punarvasu'],"['Jaaved Jaaferi', 'Vivaan Shah', 'Avantika Dasani', 'Sushant Singh', 'Namita Lal', 'Ishtiyak Khan', 'Veenay Bhasskar', 'Shahid Bobby Husain', 'Ankur Yadav', 'Suraj Singh']",['Drama'],"March 22, 2024 (India)",['Hindi'],"['Alcor Productions', 'Yadhunath Films']"
Yes Papa,PT1H30M,8.2,"['Saif Hyder Hasan', 'Hariharasudhan Balasubramani']",['Saif Hyder Hasan'],"['Tejaswini Kolhapure', 'Ananth Mahadevan', 'Nandita Puri', 'Divya Seth Shah', 'Geetika Tyagi', 'Sanjeev Tyagi']",['Drama'],"March 29, 2024 (India)",['Hindi'],[]
Good Luck,PT1H47M,8.9,"['Prakhar Shrivastava', 'Dr(Er) Azad Jain']","['Abhishek Manoharchanda', 'Prakhar Shrivastava']","['Brijendra Kala', 'Malti Mathur', 'Dr(Er) Azad Jain', 'Rakhi Anand Agarwal', 'Tulika Banerjee', 'Manisha Chitrode', 'Bhushan Jain', 'Sagar Shende', 'Ayushi Shukla', 'Ashutosh Upadhyay', 'Pannkaj Waaghle']","['Comedy', 'Drama']","April 5, 2024 (India)",['Hindi'],['Asha Azad Films']
