title,duration,imdb_rating,directors,writers,cast,genres,release_date,languages,production_companies
Tapori Nayak,,8.7,[],[],"['Caroline Cave', 'Neil Grayston', 'Nitish Nirmal']",['Adventure'],"January 4, 2024 (India)",['Hindi'],[]
Lethal Trip,,,['Vikrant Dev'],"['Rajan Agarwal', 'Rajan Aggarwal', 'Rj']","['Rishabh Jain', 'Sareh Far', 'Lada Lucky', 'Sanjay Sujitabh', 'Siddharth Jain']",['Thriller'],"March 7, 2024 (India)",['Hindi'],[]
Sach Ki Jeet,,8.3,['Raahul Mouje'],['Kali Ram Tomar'],"['Sunnyy Singh', 'Harsha Nikam', 'Rajkumar Duva', 'Sushil Parwana', 'Ehsaan Qureshi', 'Neem Sayyed', 'Raju Shrestha', 'Kali Ram Tomar', 'Ronak Tomar']",['Drama'],"January 5, 2024 (India)",['Hindi'],['Vishesh Drishti TV & Film Production']
Militant Monster 2024,,8.8,['Yin Chen Yang'],[],"['Nitish Nirmal', 'Yuanting Shi', 'Wei Wei', 'Dongmei Xu']",['Adventure'],"January 11, 2024 (India)",['Hindi'],[]
Chhota Bheem - Vinash Beej Ka Vinash,,8.2,[],['Saharsh Wardhan Singh Rathore'],[],['Animation'],"January 14, 2024 (India)",['Hindi'],['Green Gold Animation']
The Last Wish,,,"['Sharrma Mayyank', 'Sanjali Suri']","['Amit Aseem', 'Sharrma Mayyank']","['Nanak Arora', 'Simmi Arora', 'Shrishti Arya', 'Shruti Gupta', 'Charan Kamal Kaur', 'Naveen Kumar', 'Sandeep Kumar', 'Arpita Madaan', 'Mihiransh', 'Manik Naik', 'Shefali Naryal', 'Sushant Pujari', 'Sanjali Suri', 'Girish Thapar', 'Atharav Tyagi']",['Drama'],"January 16, 2024 (India)",['Hindi'],"['Epitome Production House', 'MSAsian Entertainment']"
Ram-Ran: Ayodhya (Sant Pratigya),,,[],['Shailendra Pandey'],[],['Documentary'],"January 20, 2024 (India)",['Hindi'],[]
Bade Ghar Ki Bahu,,,['Shatrughn Goswami'],['Shashi Kumar Pandey'],"['Sanchita Banerjee', 'Nishar Khan', 'Pratibha Pandey']",['Family'],"February 8, 2024 (India)",['Hindi'],[]
Balaayen,,,['Deepanjali'],['Deepanjali'],"['Hariom Mishra', 'Pragati Chauhan', 'Eshika Dey', 'Shiva Kaushal', 'Amzad Khan', 'Rohit Kumar', 'Ramneek Singh Maan', 'Vikas Ranjan', 'Kalpana Rao', 'Dilip Tekwani', 'Sandhya R Vehal']",['Horror'],"February 8, 2024 (India)",['Hindi'],['Kala Motion Pictures']
Khichdi 2: Mission Paanthukistan,,5.4,['K. Ajay Kumar'],[],"['Kirti Kulhari', 'Kousai Orfahli', 'Kousi Orfahli', 'Flora Saini']",['Comedy'],"February 9, 2024 (India)",['Hindi'],['Jaminadas and Associates']
Mamta Child Factory,,9.3,['Mohsin Khan'],"['Ram Khatmode', 'Vinod Vanve']","['Sudhakar Birajdar', 'Suvarna Desai', 'Vrushali Dubey', 'Akanksha Jadhav', 'Dhananjay Jamdar', 'Geetanjali Kulkarni', 'Shreya Kulkarni', 'Ankita Landepatil', 'Sujata Mogal', 'Rajesh Nanaware', 'Prathamesh Parab', 'Varsha Satish Patel', 'Vijay Patwardhan', 'Namrata Pawaskar', 'Prithvik Pratap', 'G. Priyanka', 'Jagriti Salve', 'Pratibha Shimpi']",['Drama'],"February 9, 2024 (India)",['Hindi'],[]
Khudai,,,['Yusuf Ali Khan'],['Salim Ahmed'],"['Abdul Jabbar Ansari', 'Ramesh Goyal', 'Javed Hyder', 'Ali Khan', 'Dilkash Khan', 'Paritosh Tripathi']",['Action'],"February 16, 2024 (India)",['Hindi'],['AJ Films Creation']
Shiva Ragini,,,['Shatrughn Goswami'],['Shashi Kumar Pandey'],"['Anup Arora', 'Lado Madhesiya', 'Sanyukta Roy']",['Family'],"February 24, 2024 (India)",['Hindi'],[]
Uberman,,8.2,['Ashissh Kaushik'],"['Ashissh Kaushik', 'Amit Shah', 'Alok Sharma']","['Adarsh', 'Dyutika Bhardwaj', 'Bhumika', 'Dev Chauhan', 'Sunil Chitkara', 'Manisha Chudasama', 'Pooja Kanjilal', 'Dolly Kaushik', 'Rajender Kaushik', 'Gaurav Kumar', 'Swati Kumar', 'Paras Prabhakar', 'Shrawya Shreya Rajput', 'Rocky', 'Nayana Sagar', 'Sahil Sethi', 'Sahil Sethi', 'Amit Shah']",['Drama'],"February 28, 2024 (India)",['Hindi'],['Iris graphic studio']
Sandeh,,8.9,['Ayaaz Khan'],['Shweta Srivastava'],"['Pulkit Raizada', 'Pradeep Srivastava', 'Gaurav Kumar', 'Sonam Saini', 'Rohit Shrivastav', 'Tanishq Srivastava', 'Anshuman Srivastava', 'Anoopma Awasthi', 'Dushyant Singh Bhadauria', 'Nitish Bhaluni', 'Ritika Gupta', 'Lokesh Mohan Khattar', 'Sanjay Raizada', 'Shivani Saumya', 'Dinesh Trivedi', 'Pawan Vikram']",['Drama'],"March 1, 2024 (India)",['Hindi'],['Impulse Cine Entertainments']
Raktdhara: The City of Blood,,9.1,['Rehmat Ali Khan'],['Uttam Chaudhary'],"['Rishabh Choudhary', 'Dheeraj Dev', 'Helena Fonseca', 'Gaurav Gautam', 'Sonu Mishra', 'Jiya Pandey', 'Sonam Saini', 'Prithvi Zutshi']",['Crime'],"March 1, 2024 (India)",['Hindi'],[]
Gin Ke Dus,,9.3,['Sareesh Sudhakaran'],"['Amjad Ali', 'Sareesh Sudhakaran']","['Anika Arya', 'Sanjana Deshmukh', 'Trishana Goswami', 'Avinash Gupta', 'Aniket Jadhav', 'Zahid Khan', 'Muskan Khurana', 'Kailash Pal', 'Akshay Ravi', 'Himanshu Shekhar']","['Giallo', 'Thriller']","March 15, 2024 (India)",['Hindi'],"['The Indie Farm', 'Wolfcrow']"
Daddy's Daughter 2,,,['Abhimanyu Chauhan'],['Abhimanyu Chauhan'],"['Arpita Bhutani', 'Abhimanyu Chauhan', 'Mahi Chauhan', 'Manoj Chauhan', 'Isha Ratan', 'Avinash Shukla', 'Naman Shukla', 'Vikram Singh']",['Drama'],"March 15, 2024 (India)",['Hindi'],['Fire Thoughts Creations']
Lover of Mewat,,,['Nikku'],['Nikku'],"['Shameem Ahmed', 'Badsha', 'Deepak CDS', 'Sagar Gautam', 'Ayan Khan', 'Harish Khan', 'Naveen Kumar', 'Nikku', 'Devika Rajput', 'Aarif Rine', 'Hashim Rine', 'Rajudeen Rine', 'Kapil Saini', 'Kunal Saini', 'Sopu Saini']","['Drama', 'Family']","March 20, 2024 (India)",['Hindi'],['Mewat28']
Ahmiyat,,,['Himanshu Shrivastav'],['Kamlesh Patidar'],"['Lata Sabharwal', 'Kamlesh Patidar', 'Shaurya Saxena', 'Himanshu Shrivastav', 'Sumit Arora', 'Itisha Sharma', 'Ravina Patel', 'Himanshu Bohara', 'Jayjeet Gurjar', 'Seshaan Sharma', 'Happy Shrivastava', 'Prakash Golani', 'Shubham Porwal', 'Shailendra Singh Katariya']",['Drama'],"March 21, 2024 (India)",['Hindi'],['Udaan Cine Films']
Sharab Mafiya,,9.2,['Sanjeet Kumar Sangam'],['Bhola Kumar Baghbani'],"['Prashant Adhikari', 'Rajnish Arya', 'Jitendra Mandal Jitu', 'Maurya kunal Mandal', 'Mukesh Mandal', 'Raj Nandani', 'Sanjeet Kumar Sangam', 'Vedant Kumar Sugam']",['Drama'],"March 24, 2024 (India)",['Hindi'],[]
Tum Aaye Ho Toh,,,['Jyoti Kapur Das'],['Jyoti Kapur Das'],"['Shreya Chaudhry', 'Nasir Khan', 'Ekavali Khanna', 'Neelu Kohli', 'Jubin Nautiyal', 'Jayna Ruchandani', 'Santosh Singh', 'Santosh Kumar Singh', 'Vaibhav Verma']",[],"March 27, 2024 (India)",['Hindi'],['RadF Media']
Nagmani,,9.5,['Amit Parimal'],"['Ravi Raushan Maurya', 'Amit Parimal']","['Raju Chauhan', 'Amit Parimal', 'Atul Prince', 'Aryan Punit', 'Niharika Raj', 'Chandan Raz', 'Sweta Sharma', 'Prem Yaduvanshi']",['Comedy'],"March 27, 2024 (India)",['Hindi'],[]
3rd October,,8.4,['Vineet Jha'],"['Vineet Jha', 'Taufique Rahman']","['Moin Khan', 'Hiten Tejwani', 'Sneha Ullal', 'Kanchi Singh', 'Manini Mishra', 'Pratyush Sharma', 'Kunal Kumar Bantalloo', 'Dipanshu Chatterjee', 'Amit Dhawle', 'Nidhi Diwan', 'Vinod Goswami', 'Juhi Harchandani', 'Shraddha Joshi', 'Pushpanshu Kale', 'Pooja Kandare', 'Pankaj Kashyap', 'Sunil Kumar', 'Mridula Oberoi']",['Drama'],"March 29, 2024 (India)",['Hindi'],['Clock N Dail']
Varchasva,,,['Manish Singh'],"['Sanjay Masoomm', 'Rajesh Meera Sharma']","['Mannveer Choudharry', 'Rajesh Das', 'Ekavali Khanna', 'Ravi Kishan', 'Neeraj Mishra', 'Akshay Oberoi', 'Ravi Pandey', 'Aayu Sharma', 'Priyadarshini Singh']",['Crime'],March 2024 (India),['Hindi'],[]
